PM,PM10,SO2,NO2,CO,O3,AQI
83,172,9,62,1.12,64,113
96,189,13,63,1.34,44,128
39,70,7,36,0.82,53,61
22,38,6,32,0.98,44,39
31,47,5,35,1.15,22,47
27,42,6,34,1,27,43
36,54,8,37,0.91,50,54
39,72,6,37,0.7,61,63
62,106,10,58,1.02,42,86
86,135,13,68,1.24,43,115
97,152,15,78,1.43,47,129
95,148,18,75,1.23,46,126
127,192,20,81,1.29,40,169
146,210,20,73,1.34,49,193
186,261,20,85,1.6,25,237
82,110,11,50,0.98,47,113
82,123,12,63,1.11,48,109
109,158,14,74,1.35,28,145
70,120,13,62,1.14,41,96
97,151,14,71,1.17,28,129
116,162,17,57,1.22,51,154
97,135,11,55,1.21,37,129
86,127,13,69,1.34,23,116
51,73,8,42,0.96,32,73
24,37,6,29,1.04,48,40
46,62,6,31,0.89,49,65
40,53,5,32,0.86,33,58
63,83,7,46,1.07,32,86
90,120,10,54,1.26,28,120
92,123,11,57,1.2,24,123
66,97,8,51,0.98,42,91
56,104,12,58,0.8,39,79
62,121,9,59,0.92,44,92
68,126,12,55,0.91,57,93
81,109,5,45,0.85,50,109
80,101,5,45,0.92,39,107
96,130,6,56,1.09,26,128
114,151,7,57,1.2,30,150
105,134,7,49,1,41,139
96,120,6,50,1.04,45,127
44,146,4,27,0.63,71,99
63,178,6,40,0.8,47,115
74,177,7,47,0.97,44,115
87,163,6,39,1.05,59,117
117,182,8,46,1.18,55,155
109,154,6,40,1.24,56,145
149,191,11,37,1.27,74,196
111,144,10,30,1.15,74,149
36,69,8,24,0.83,76,60
42,67,8,26,0.85,82,62
55,77,7,27,0.96,80,77
33,52,6,20,0.71,73,53
27,43,5,25,0.67,65,44
42,59,7,31,0.81,47,60
27,48,6,34,0.72,61,49
45,76,9,41,0.85,78,66
63,94,11,52,1.03,59,86
65,93,10,52,1.15,65,88
81,111,11,54,1.26,70,108
82,113,10,54,1.15,91,111
78,115,13,59,1.13,71,105
